user_id,field,response,attention,news_eval,condition,ip_address,ipblock
1652910426203_slw42,climate_importance,4_some-importance,1,4,-0.5,173.19.90.63,0
1652910426203_slw42,climate_newsworthiness,4_some-newsworthiness,1,4,-0.5,173.19.90.63,0
1652910426203_slw42,election_importance,5_high-importance,1,5,-0.5,173.19.90.63,0
1652910426203_slw42,election_newsworthiness,5_high-newsworthiness,1,5,-0.5,173.19.90.63,0
1652910426203_slw42,johnny_importance,3_low-importance,1,3,-0.5,173.19.90.63,0
1652910426203_slw42,johnny_newsworthiness,4_some-newsworthiness,1,4,-0.5,173.19.90.63,0
1652910426203_slw42,climate_exposure_frequency,5_few-times-week,1,5,-0.5,173.19.90.63,0
1652910426203_slw42,election_exposure_frequency,5_few-times-week,1,5,-0.5,173.19.90.63,0
1652910426203_slw42,johnny_exposure_frequency,5_few-times-week,1,5,-0.5,173.19.90.63,0
1652910426203_slw42,climate_desired_frequency,1_less-climate-change,1,1,-0.5,173.19.90.63,0
1652910426203_slw42,election_desired_frequency,1_less-election,1,1,-0.5,173.19.90.63,0
1652910426203_slw42,johnny_desired_frequency,1_less-johnny,1,1,-0.5,173.19.90.63,0
1652910426203_slw42,climate_concern,4_moderately-concerned,1,4,-0.5,173.19.90.63,0
1652910426203_slw42,climate_hope,3_some,1,3,-0.5,173.19.90.63,0
1652910426203_slw42,climate_human_activity,4_slightly-agree,1,4,-0.5,173.19.90.63,0
1652910426203_slw42,climate_problem,4_slightly-agree,1,4,-0.5,173.19.90.63,0
1652910426203_slw42,climate_cards_perc,18,1,18,-0.5,173.19.90.63,0
1652910503094_tinli,climate_importance,6_very-high-importance,1,6,-0.5,66.31.21.140,0
1652910503094_tinli,climate_newsworthiness,6_very-high-newsworthiness,1,6,-0.5,66.31.21.140,0
1652910503094_tinli,election_importance,6_very-high-importance,1,6,-0.5,66.31.21.140,0
1652910503094_tinli,election_newsworthiness,6_very-high-newsworthiness,1,6,-0.5,66.31.21.140,0
1652910503094_tinli,johnny_importance,4_some-importance,1,4,-0.5,66.31.21.140,0
1652910503094_tinli,johnny_newsworthiness,3_low-newsworthiness,1,3,-0.5,66.31.21.140,0
1652910503094_tinli,climate_exposure_frequency,3_one-every-other-week,1,3,-0.5,66.31.21.140,0
1652910503094_tinli,election_exposure_frequency,4_one-per-week,1,4,-0.5,66.31.21.140,0
1652910503094_tinli,johnny_exposure_frequency,5_few-times-week,1,5,-0.5,66.31.21.140,0
1652910503094_tinli,climate_desired_frequency,3_more-climate-change,1,3,-0.5,66.31.21.140,0
1652910503094_tinli,election_desired_frequency,3_more-election,1,3,-0.5,66.31.21.140,0
1652910503094_tinli,johnny_desired_frequency,1_less-johnny,1,1,-0.5,66.31.21.140,0
1652910503094_tinli,climate_concern,6_extremely-concerned,1,6,-0.5,66.31.21.140,0
1652910503094_tinli,climate_hope,1_none-at-all,1,1,-0.5,66.31.21.140,0
1652910503094_tinli,climate_human_activity,6_strongly-agree,1,6,-0.5,66.31.21.140,0
1652910503094_tinli,climate_problem,6_strongly-agree,1,6,-0.5,66.31.21.140,0
1652910503094_tinli,climate_cards_perc,21,1,21,-0.5,66.31.21.140,0
1652910733996_1puuk,climate_importance,5_high-importance,1,5,-0.5,74.65.18.229,0
1652910733996_1puuk,climate_newsworthiness,4_some-newsworthiness,1,4,-0.5,74.65.18.229,0
1652910733996_1puuk,election_importance,5_high-importance,1,5,-0.5,74.65.18.229,0
1652910733996_1puuk,election_newsworthiness,4_some-newsworthiness,1,4,-0.5,74.65.18.229,0
1652910733996_1puuk,johnny_importance,3_low-importance,1,3,-0.5,74.65.18.229,0
1652910733996_1puuk,johnny_newsworthiness,2_very-low-newsworthiness,1,2,-0.5,74.65.18.229,0
1652910733996_1puuk,climate_exposure_frequency,2_once-twice-month,1,2,-0.5,74.65.18.229,0
1652910733996_1puuk,election_exposure_frequency,1_none-this-month,1,1,-0.5,74.65.18.229,0
1652910733996_1puuk,johnny_exposure_frequency,2_once-twice-month,1,2,-0.5,74.65.18.229,0
1652910733996_1puuk,climate_desired_frequency,2_same-climate-change,1,2,-0.5,74.65.18.229,0
1652910733996_1puuk,election_desired_frequency,2_same-election,1,2,-0.5,74.65.18.229,0
1652910733996_1puuk,johnny_desired_frequency,1_less-johnny,1,1,-0.5,74.65.18.229,0
1652910733996_1puuk,climate_concern,4_moderately-concerned,1,4,-0.5,74.65.18.229,0
1652910733996_1puuk,climate_hope,2_a-little,1,2,-0.5,74.65.18.229,0
1652910733996_1puuk,climate_human_activity,5_agree,1,5,-0.5,74.65.18.229,0
1652910733996_1puuk,climate_problem,4_slightly-agree,1,4,-0.5,74.65.18.229,0
1652910733996_1puuk,climate_cards_perc,10,1,10,-0.5,74.65.18.229,0
1652910748736_2tub9,climate_importance,5_high-importance,1,5,-0.5,12.96.29.3,0
1652910748736_2tub9,climate_newsworthiness,5_high-newsworthiness,1,5,-0.5,12.96.29.3,0
