user_id,field,response,attention,news_eval,condition,ip_address,ipblock
1651266678147_sv46w,election_importance,5_high-importance,0.5,5,0.5,71.212.155.14,0
1651266678147_sv46w,election_newsworthiness,2_very-low-newsworthiness,0.5,2,0.5,71.212.155.14,0
1651266678147_sv46w,johnny_importance,5_high-importance,0.5,5,0.5,71.212.155.14,0
1651266678147_sv46w,johnny_newsworthiness,5_high-newsworthiness,0.5,5,0.5,71.212.155.14,0
1651266678147_sv46w,willsmith_importance,5_high-importance,0.5,5,0.5,71.212.155.14,0
1651266678147_sv46w,willsmith_newsworthiness,4_some-newsworthiness,0.5,4,0.5,71.212.155.14,0
1651266678147_sv46w,willsmith_cards_perc,75,0.5,75,0.5,71.212.155.14,0
1651266679690_pjovw,election_importance,5_high-importance,1,5,-0.5,76.26.87.87,0
1651266679690_pjovw,election_newsworthiness,5_high-newsworthiness,1,5,-0.5,76.26.87.87,0
1651266679690_pjovw,johnny_importance,1_no-importance,1,1,-0.5,76.26.87.87,0
1651266679690_pjovw,johnny_newsworthiness,1_no-newsworthiness,1,1,-0.5,76.26.87.87,0
1651266679690_pjovw,willsmith_importance,1_no-importance,1,1,-0.5,76.26.87.87,0
1651266679690_pjovw,willsmith_newsworthiness,1_no-newsworthiness,1,1,-0.5,76.26.87.87,0
1651266679690_pjovw,willsmith_cards_perc,1,1,1,-0.5,76.26.87.87,0
1651266713669_4rjfd,election_importance,5_high-importance,1,5,0.5,71.61.235.88,0
1651266713669_4rjfd,election_newsworthiness,5_high-newsworthiness,1,5,0.5,71.61.235.88,0
1651266713669_4rjfd,johnny_importance,4_some-importance,1,4,0.5,71.61.235.88,0
1651266713669_4rjfd,johnny_newsworthiness,5_high-newsworthiness,1,5,0.5,71.61.235.88,0
1651266713669_4rjfd,willsmith_importance,2_very-low-importance,1,2,0.5,71.61.235.88,0
1651266713669_4rjfd,willsmith_newsworthiness,2_very-low-newsworthiness,1,2,0.5,71.61.235.88,0
1651266713669_4rjfd,willsmith_cards_perc,56,1,56,0.5,71.61.235.88,0
1651266714825_dg03x,election_importance,6_very-high-importance,1,6,0.5,173.23.107.143,0
1651266714825_dg03x,election_newsworthiness,6_very-high-newsworthiness,1,6,0.5,173.23.107.143,0
1651266714825_dg03x,johnny_importance,1_no-importance,1,1,0.5,173.23.107.143,0
1651266714825_dg03x,johnny_newsworthiness,1_no-newsworthiness,1,1,0.5,173.23.107.143,0
1651266714825_dg03x,willsmith_importance,1_no-importance,1,1,0.5,173.23.107.143,0
1651266714825_dg03x,willsmith_newsworthiness,1_no-newsworthiness,1,1,0.5,173.23.107.143,0
1651266714825_dg03x,willsmith_cards_perc,60,1,60,0.5,173.23.107.143,0
1651266725098_l22v9,election_importance,3_low-importance,1,3,-0.5,75.90.104.36,0
1651266725098_l22v9,election_newsworthiness,3_low-newsworthiness,1,3,-0.5,75.90.104.36,0
1651266725098_l22v9,johnny_importance,4_some-importance,1,4,-0.5,75.90.104.36,0
1651266725098_l22v9,johnny_newsworthiness,4_some-newsworthiness,1,4,-0.5,75.90.104.36,0
1651266725098_l22v9,willsmith_importance,3_low-importance,1,3,-0.5,75.90.104.36,0
1651266725098_l22v9,willsmith_newsworthiness,3_low-newsworthiness,1,3,-0.5,75.90.104.36,0
1651266725098_l22v9,willsmith_cards_perc,2,1,2,-0.5,75.90.104.36,0
1651266737130_jhzsz,election_importance,6_very-high-importance,1,6,0.5,67.63.94.123,0
1651266737130_jhzsz,election_newsworthiness,6_very-high-newsworthiness,1,6,0.5,67.63.94.123,0
1651266737130_jhzsz,johnny_importance,3_low-importance,1,3,0.5,67.63.94.123,0
1651266737130_jhzsz,johnny_newsworthiness,4_some-newsworthiness,1,4,0.5,67.63.94.123,0
